MARRA201,Atlas Mountains Hike,Marrakech,excursion,"Randonnée guidée dans les montagnes de l’Atlas avec vues panoramiques.",high,6,morning,"hiking,mountain,nature","Prévoir chaussures adaptées et eau."
MARRA202,Tizi n’Tichka Pass,Marrakech,excursion,"Col panoramique dans l’Atlas avec arrêts photo.",medium,3,morning,"mountain,scenic,photo","Meilleur tôt le matin."
MARRA203,Ourika Valley Waterfalls,Marrakech,excursion,"Visite des cascades et villages berbères.",medium,5,morning,"waterfall,nature,berber","Chaussures antidérapantes conseillées."
MARRA204,Oukaimeden Ski Resort,Marrakech,adventure,"Station de ski et activités de montagne.",high,6,morning,"ski,snow,adventure","Vérifier météo avant départ."
MARRA205,Desert Agafay Camel Trek,Marrakech,experience,"Balade à dos de chameau dans le désert rocheux.",high,2,afternoon,"camel,desert,adventure","Parfait pour coucher de soleil."
MARRA206,Desert Agafay Quad Biking,Marrakech,adventure,"Balade en quad dans le désert d’Agafay.",high,2,afternoon,"quad,desert,adventure","Porter lunettes et foulard."
MARRA207,Lalla Takerkoust Lake,Marrakech,excursion,"Lac artificiel pour activités nautiques et pique-nique.",medium,4,morning,"lake,nature,relax","Apporter pique-nique et eau."
MARRA208,Quad Lalla Takerkoust,Marrakech,adventure,"Balade en quad autour du lac.",medium,2,afternoon,"quad,adventure,lake","Porter lunettes et foulard."
MARRA209,Agafay Desert Dinner,Marrakech,experience,"Dîner spectacle traditionnel dans le désert.",high,4,sunset,"desert,dinner,show","Réserver navette incluse."
MARRA210,Riad Yima Art Gallery,Marrakech,culture,"Galerie d’art moderne et contemporain.",medium,1.5,afternoon,"art,modern,photo","Parfait pour photos colorées."
MARRA211,Maison de la Photographie,Marrakech,culture,"Expositions de photographies anciennes.",medium,1.5,afternoon,"museum,photo,history","Vue rooftop à la fin."
MARRA212,Riad Yasmine Rooftop,Marrakech,view,"Rooftop avec piscine et vue panoramique.",high,1,sunset,"view,relax,pool","Photos coucher de soleil."
MARRA213,Cyber Park Arsat Moulay Abdeslam,Marrakech,nature,"Parc ombragé avec Wi-Fi.",free,1.5,afternoon,"park,nature,relax","Idéal pour pause."
MARRA214,Le Jardin Secret,Marrakech,nature,"Jardin restauré avec architecture islamique.",medium,1.5,afternoon,"garden,architecture,calm","Endroit parfait pour se reposer."
MARRA215,Jardin Anima,Marrakech,nature,"Jardin artistique et contemporain.",medium,2,afternoon,"garden,art,relax","Endroit calme et photogénique."
MARRA216,Menara Gardens,Marrakech,nature,"Parc avec grand bassin et oliviers.",free,1.5,sunset,"nature,atlas,walk","Magnifique au coucher du soleil."
MARRA217,Agdal Gardens,Marrakech,nature,"Grands jardins historiques.",low,2,morning,"garden,heritage,quiet","Vérifier horaires."
